session_id,session_type,date,shard_path,shard_exists,meta_valid,nodes_count,edges_count,processable,error_code,reason
ASIA_2025-07-24,ASIA,2025-07-24,data/shards/NQ_M5/shard_ASIA_2025-07-24,True,True,22,32,True,SUCCESS,Session fully processable
LONDON_2025-07-24,LONDON,2025-07-24,data/shards/NQ_M5/shard_LONDON_2025-07-24,True,True,20,29,True,SUCCESS,Session fully processable
LUNCH_2025-07-24,LUNCH,2025-07-24,data/shards/NQ_M5/shard_LUNCH_2025-07-24,True,True,20,32,True,SUCCESS,Session fully processable
MIDNIGHT_2025-07-24,MIDNIGHT,2025-07-24,data/shards/NQ_M5/shard_MIDNIGHT_2025-07-24,True,True,20,29,True,SUCCESS,Session fully processable
NY_2025-07-24,NY,2025-07-24,data/shards/NQ_M5/shard_NY_2025-07-24,True,True,22,32,True,SUCCESS,Session fully processable
PREMARKET_2025-07-24,PREMARKET,2025-07-24,data/shards/NQ_M5/shard_PREMARKET_2025-07-24,True,True,20,29,True,SUCCESS,Session fully processable
LONDON_2025-07-25,LONDON,2025-07-25,data/shards/NQ_M5/shard_LONDON_2025-07-25,True,True,24,35,True,SUCCESS,Session fully processable
LUNCH_2025-07-25,LUNCH,2025-07-25,data/shards/NQ_M5/shard_LUNCH_2025-07-25,True,True,26,41,True,SUCCESS,Session fully processable
MIDNIGHT_2025-07-25,MIDNIGHT,2025-07-25,data/shards/NQ_M5/shard_MIDNIGHT_2025-07-25,True,True,22,32,True,SUCCESS,Session fully processable
NY_2025-07-25,NY,2025-07-25,data/shards/NQ_M5/shard_NY_2025-07-25,True,True,24,35,True,SUCCESS,Session fully processable
PREMARKET_2025-07-25,PREMARKET,2025-07-25,data/shards/NQ_M5/shard_PREMARKET_2025-07-25,True,True,24,35,True,SUCCESS,Session fully processable
LONDON_2025-07-28,LONDON,2025-07-28,data/shards/NQ_M5/shard_LONDON_2025-07-28,True,True,29,42,True,SUCCESS,Session fully processable
LUNCH_2025-07-28,LUNCH,2025-07-28,data/shards/NQ_M5/shard_LUNCH_2025-07-28,True,True,26,40,True,SUCCESS,Session fully processable
MIDNIGHT_2025-07-28,MIDNIGHT,2025-07-28,data/shards/NQ_M5/shard_MIDNIGHT_2025-07-28,True,True,23,33,True,SUCCESS,Session fully processable
NY_2025-07-28,NY,2025-07-28,data/shards/NQ_M5/shard_NY_2025-07-28,True,True,30,43,True,SUCCESS,Session fully processable
PREMARKET_2025-07-28,PREMARKET,2025-07-28,data/shards/NQ_M5/shard_PREMARKET_2025-07-28,True,True,27,38,True,SUCCESS,Session fully processable
ASIA_2025-07-29,ASIA,2025-07-29,data/shards/NQ_M5/shard_ASIA_2025-07-29,True,True,30,43,True,SUCCESS,Session fully processable
LUNCH_2025-07-29,LUNCH,2025-07-29,data/shards/NQ_M5/shard_LUNCH_2025-07-29,True,True,36,56,True,SUCCESS,Session fully processable
MIDNIGHT_2025-07-29,MIDNIGHT,2025-07-29,data/shards/NQ_M5/shard_MIDNIGHT_2025-07-29,True,True,28,41,True,SUCCESS,Session fully processable
NY_2025-07-29,NY,2025-07-29,data/shards/NQ_M5/shard_NY_2025-07-29,True,True,60,89,True,SUCCESS,Session fully processable
PREMARKET_2025-07-29,PREMARKET,2025-07-29,data/shards/NQ_M5/shard_PREMARKET_2025-07-29,True,True,35,50,True,SUCCESS,Session fully processable
ASIA_2025-07-30,ASIA,2025-07-30,data/shards/NQ_M5/shard_ASIA_2025-07-30,True,True,26,38,True,SUCCESS,Session fully processable
LONDON_2025-07-30,LONDON,2025-07-30,data/shards/NQ_M5/shard_LONDON_2025-07-30,True,True,48,71,True,SUCCESS,Session fully processable
LUNCH_2025-07-30,LUNCH,2025-07-30,data/shards/NQ_M5/shard_LUNCH_2025-07-30,True,True,32,50,True,SUCCESS,Session fully processable
MIDNIGHT_2025-07-30,MIDNIGHT,2025-07-30,data/shards/NQ_M5/shard_MIDNIGHT_2025-07-30,True,True,24,35,True,SUCCESS,Session fully processable
NY_2025-07-30,NY,2025-07-30,data/shards/NQ_M5/shard_NY_2025-07-30,True,True,68,101,True,SUCCESS,Session fully processable
PREASIA_2025-07-30,PREASIA,2025-07-30,data/shards/NQ_M5/shard_PREASIA_2025-07-30,True,True,16,23,True,SUCCESS,Session fully processable
PREMARKET_2025-07-30,PREMARKET,2025-07-30,data/shards/NQ_M5/shard_PREMARKET_2025-07-30,True,True,44,65,True,SUCCESS,Session fully processable
LONDON_2025-07-31,LONDON,2025-07-31,data/shards/NQ_M5/shard_LONDON_2025-07-31,True,True,42,62,True,SUCCESS,Session fully processable
MIDNIGHT_2025-07-31,MIDNIGHT,2025-07-31,data/shards/NQ_M5/shard_MIDNIGHT_2025-07-31,True,True,27,39,True,SUCCESS,Session fully processable
NY_2025-07-31,NY,2025-07-31,data/shards/NQ_M5/shard_NY_2025-07-31,True,True,37,54,True,SUCCESS,Session fully processable
PREMARKET_2025-07-31,PREMARKET,2025-07-31,data/shards/NQ_M5/shard_PREMARKET_2025-07-31,True,True,38,56,True,SUCCESS,Session fully processable
LUNCH_2025-08-04,LUNCH,2025-08-04,data/shards/NQ_M5/shard_LUNCH_2025-08-04,True,True,43,73,True,SUCCESS,Session fully processable
NY_2025-08-04,NY,2025-08-04,data/shards/NQ_M5/shard_NY_2025-08-04,True,True,39,62,True,SUCCESS,Session fully processable
ASIA_2025-08-05,ASIA,2025-08-05,data/shards/NQ_M5/shard_ASIA_2025-08-05,True,True,46,79,True,SUCCESS,Session fully processable
LONDON_2025-08-05,LONDON,2025-08-05,data/shards/NQ_M5/shard_LONDON_2025-08-05,True,True,50,84,True,SUCCESS,Session fully processable
LUNCH_2025-08-05,LUNCH,2025-08-05,data/shards/NQ_M5/shard_LUNCH_2025-08-05,True,True,41,69,True,SUCCESS,Session fully processable
MIDNIGHT_2025-08-05,MIDNIGHT,2025-08-05,data/shards/NQ_M5/shard_MIDNIGHT_2025-08-05,True,True,27,45,True,SUCCESS,Session fully processable
NY_2025-08-05,NY,2025-08-05,data/shards/NQ_M5/shard_NY_2025-08-05,True,True,65,120,True,SUCCESS,Session fully processable
PREMARKET_2025-08-05,PREMARKET,2025-08-05,data/shards/NQ_M5/shard_PREMARKET_2025-08-05,True,True,48,83,True,SUCCESS,Session fully processable
ASIA_2025-08-06,ASIA,2025-08-06,data/shards/NQ_M5/shard_ASIA_2025-08-06,True,True,31,46,True,SUCCESS,Session fully processable
LONDON_2025-08-06,LONDON,2025-08-06,data/shards/NQ_M5/shard_LONDON_2025-08-06,True,True,31,49,True,SUCCESS,Session fully processable
LUNCH_2025-08-06,LUNCH,2025-08-06,data/shards/NQ_M5/shard_LUNCH_2025-08-06,True,True,42,70,True,SUCCESS,Session fully processable
MIDNIGHT_2025-08-06,MIDNIGHT,2025-08-06,data/shards/NQ_M5/shard_MIDNIGHT_2025-08-06,True,True,22,34,True,SUCCESS,Session fully processable
NYAM_2025-08-06,NYAM,2025-08-06,data/shards/NQ_M5/shard_NYAM_2025-08-06,True,True,61,107,True,SUCCESS,Session fully processable
NYPM_2025-08-06,NYPM,2025-08-06,data/shards/NQ_M5/shard_NYPM_2025-08-06,True,True,47,84,True,SUCCESS,Session fully processable
PREMARKET_2025-08-06,PREMARKET,2025-08-06,data/shards/NQ_M5/shard_PREMARKET_2025-08-06,True,True,33,54,True,SUCCESS,Session fully processable
ASIA_2025-08-07,ASIA,2025-08-07,data/shards/NQ_M5/shard_ASIA_2025-08-07,True,True,50,89,True,SUCCESS,Session fully processable
LONDON_2025-08-07,LONDON,2025-08-07,data/shards/NQ_M5/shard_LONDON_2025-08-07,True,True,55,93,True,SUCCESS,Session fully processable
MIDNIGHT_2025-08-07,MIDNIGHT,2025-08-07,data/shards/NQ_M5/shard_MIDNIGHT_2025-08-07,True,True,20,30,True,SUCCESS,Session fully processable
PREMARKET_2025-08-07,PREMARKET,2025-08-07,data/shards/NQ_M5/shard_PREMARKET_2025-08-07,True,True,30,49,True,SUCCESS,Session fully processable
